,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,125,30.28,优,--,10,#00E400,优,#00E400,7,杭州市,40,优,优,330100,#00E400,120.15,#00E400,16,优,0.4,优,#00E400,330100,#00E400,杭州市,#00E400,优,25,2026-04-30 13:00:00
1,136,29.88,优,--,13,#00E400,优,#00E400,6,宁波市,43,优,优,330200,#00E400,121.55,#00E400,26,优,0.5,优,#00E400,330200,#00E400,宁波市,#00E400,优,35,2026-04-30 13:00:00
2,104,28,优,--,10,#00E400,优,#00E400,5,温州市,33,优,优,330300,#00E400,120.7,#00E400,4,优,0.2,优,#00E400,330300,#00E400,温州市,#00E400,优,11,2026-04-30 13:00:00
3,130,30.75,优,--,10,#00E400,优,#00E400,8,嘉兴市,41,优,优,330400,#00E400,120.75,#00E400,20,优,0.4,优,#00E400,330400,#00E400,嘉兴市,#00E400,优,30,2026-04-30 13:00:00
4,128,30.9,优,--,15,#00E400,优,#00E400,7,湖州市,40,优,优,330500,#00E400,120.08,#00E400,23,优,0.5,优,#00E400,330500,#00E400,湖州市,#00E400,优,30,2026-04-30 13:00:00
5,119,30,优,--,16,#00E400,优,#00E400,7,绍兴市,38,优,优,330600,#00E400,120.57,#00E400,26,优,0.4,优,#00E400,330600,#00E400,绍兴市,#00E400,优,30,2026-04-30 13:00:00
6,101,29.08,优,--,14,#00E400,优,#00E400,3,金华市,32,优,优,330700,#00E400,119.65,#00E400,13,优,0.3,优,#00E400,330700,#00E400,金华市,#00E400,优,22,2026-04-30 13:00:00
7,96,28.93,优,--,12,#00E400,优,#00E400,6,衢州市,30,优,优,330800,#00E400,118.87,#00E400,6,优,0.3,优,#00E400,330800,#00E400,衢州市,#00E400,优,9,2026-04-30 13:00:00
8,132,30,优,--,11,#00E400,优,#00E400,7,舟山市,43,优,优,330900,#00E400,122.2,#00E400,30,优,0.5,优,#00E400,330900,#00E400,舟山市,#00E400,优,30,2026-04-30 13:00:00
9,106,28.68,优,--,10,#00E400,优,#00E400,4,台州市,34,优,优,331000,#00E400,121.43,#00E400,16,优,0.3,优,#00E400,331000,#00E400,台州市,#00E400,优,24,2026-04-30 13:00:00
10,85,28.45,优,--,8,#00E400,优,#00E400,4,丽水市,27,优,优,331100,#00E400,119.92,#00E400,5,优,0.3,优,#00E400,331100,#00E400,丽水市,#00E400,优,12,2026-04-30 13:00:00
